op	rep	ns	bytes
access	1	109416	36809056
access	2	80459	36809056
access	3	79708	36809056
access	4	79750	36809056
access	5	81333	36809056
access	6	81000	36809056
access	7	79292	36809056
access	8	79542	36809056
access	9	79209	36809056
access	10	79708	36809056
access	11	79292	36809056
access	12	79458	36809056
access	13	79291	36809056
access	14	79958	36809056
access	15	80750	36809056
access	16	82375	36809056
access	17	79709	36809056
access	18	79667	36809056
access	19	79292	36809056
access	20	86500	36809056
access	21	79750	36809056
access	22	79458	36809056
access	23	79625	36809056
access	24	79125	36809056
access	25	78875	36809056
access	26	80584	36809056
access	27	86542	36809056
access	28	79667	36809056
access	29	79292	36809056
access	30	79666	36809056
access	31	78834	36809056
access	32	85291	36809056
access	33	78792	36809056
access	34	79042	36809056
access	35	78792	36809056
access	36	80000	36809056
access	37	79584	36809056
access	38	79334	36809056
access	39	78875	36809056
access	40	78750	36809056
decode	1	3570875	36809056
decode	2	2060292	36809056
decode	3	1827583	36809056
decode	4	1810750	36809056
decode	5	1905166	36809056
decode	6	1878500	36809056
decode	7	1949208	36809056
decode	8	1855875	36809056
decode	9	1850291	36809056
decode	10	1765417	36809056
decode	11	2057834	36809056
decode	12	1976917	36809056
decode	13	1990750	36809056
decode	14	1835583	36809056
decode	15	1861292	36809056
decode	16	1753625	36809056
decode	17	1948750	36809056
decode	18	1871417	36809056
decode	19	1913208	36809056
decode	20	1901083	36809056
decode	21	1932666	36809056
decode	22	1836667	36809056
decode	23	1999542	36809056
decode	24	1947250	36809056
decode	25	1832625	36809056
decode	26	1964542	36809056
decode	27	2104959	36809056
decode	28	2863708	36809056
decode	29	3062458	36809056
decode	30	1836584	36809056
decode	31	1763167	36809056
decode	32	2000458	36809056
decode	33	1848833	36809056
decode	34	1895584	36809056
decode	35	1909625	36809056
decode	36	1966416	36809056
decode	37	1821584	36809056
decode	38	1788375	36809056
decode	39	1836917	36809056
decode	40	1727667	36809056
encode	1	5545750	36809056
encode	2	3823583	36809056
encode	3	3498000	36809056
encode	4	3501417	36809056
encode	5	3855167	36809056
encode	6	3633833	36809056
encode	7	3385834	36809056
encode	8	3377666	36809056
encode	9	3330000	36809056
encode	10	3566708	36809056
encode	11	3510000	36809056
encode	12	3687459	36809056
encode	13	3670167	36809056
encode	14	3657708	36809056
encode	15	3581625	36809056
encode	16	3565958	36809056
encode	17	3235583	36809056
encode	18	3415667	36809056
encode	19	3518625	36809056
encode	20	3663500	36809056
encode	21	3392000	36809056
encode	22	3612958	36809056
encode	23	3605333	36809056
encode	24	3620375	36809056
encode	25	3635375	36809056
encode	26	3499667	36809056
encode	27	3643667	36809056
encode	28	3502375	36809056
encode	29	3306292	36809056
encode	30	3545042	36809056
encode	31	3464459	36809056
encode	32	3525750	36809056
encode	33	3544833	36809056
encode	34	3627041	36809056
encode	35	3365042	36809056
encode	36	3367083	36809056
encode	37	3468083	36809056
encode	38	3411083	36809056
encode	39	3482209	36809056
encode	40	3736250	36809056
