op	rep	ns	bytes
access	1	123333	36868888
access	2	84166	36868888
access	3	81750	36868888
access	4	81333	36868888
access	5	82541	36868888
access	6	82292	36868888
access	7	80833	36868888
access	8	81041	36868888
access	9	80500	36868888
access	10	80458	36868888
access	11	81041	36868888
access	12	80542	36868888
access	13	81584	36868888
access	14	80750	36868888
access	15	81833	36868888
access	16	82167	36868888
access	17	80667	36868888
access	18	80500	36868888
access	19	80625	36868888
access	20	80583	36868888
access	21	80750	36868888
access	22	80459	36868888
access	23	81750	36868888
access	24	80750	36868888
access	25	81417	36868888
access	26	80958	36868888
access	27	80458	36868888
access	28	81167	36868888
access	29	80750	36868888
access	30	81041	36868888
access	31	80333	36868888
access	32	80917	36868888
access	33	81333	36868888
access	34	80208	36868888
access	35	80584	36868888
access	36	82208	36868888
access	37	82833	36868888
access	38	84292	36868888
access	39	80375	36868888
access	40	80500	36868888
decode	1	3423250	36868888
decode	2	2214416	36868888
decode	3	1921625	36868888
decode	4	1909500	36868888
decode	5	2030291	36868888
decode	6	1966416	36868888
decode	7	1820959	36868888
decode	8	2024541	36868888
decode	9	1857125	36868888
decode	10	1927083	36868888
decode	11	1975708	36868888
decode	12	1843500	36868888
decode	13	2055500	36868888
decode	14	2070125	36868888
decode	15	1802583	36868888
decode	16	1794583	36868888
decode	17	1969625	36868888
decode	18	1942291	36868888
decode	19	1892667	36868888
decode	20	1913250	36868888
decode	21	1912875	36868888
decode	22	1914250	36868888
decode	23	1918917	36868888
decode	24	1826792	36868888
decode	25	1899916	36868888
decode	26	2059792	36868888
decode	27	1872417	36868888
decode	28	1838334	36868888
decode	29	1835500	36868888
decode	30	1794459	36868888
decode	31	1771875	36868888
decode	32	1952500	36868888
decode	33	1847792	36868888
decode	34	1754000	36868888
decode	35	1743250	36868888
decode	36	1922500	36868888
decode	37	1904417	36868888
decode	38	1832709	36868888
decode	39	1789708	36868888
decode	40	1931709	36868888
encode	1	4839458	36868888
encode	2	3599792	36868888
encode	3	3522584	36868888
encode	4	3608166	36868888
encode	5	3885584	36868888
encode	6	3518542	36868888
encode	7	3624042	36868888
encode	8	3671500	36868888
encode	9	3556541	36868888
encode	10	3658708	36868888
encode	11	3347042	36868888
encode	12	3505917	36868888
encode	13	3480542	36868888
encode	14	3987917	36868888
encode	15	3422750	36868888
encode	16	3483875	36868888
encode	17	3627250	36868888
encode	18	3429458	36868888
encode	19	3479958	36868888
encode	20	3727000	36868888
encode	21	3575167	36868888
encode	22	3540209	36868888
encode	23	3573417	36868888
encode	24	3832542	36868888
encode	25	3519916	36868888
encode	26	3574458	36868888
encode	27	3653667	36868888
encode	28	3700250	36868888
encode	29	3546958	36868888
encode	30	3532083	36868888
encode	31	3383542	36868888
encode	32	3603792	36868888
encode	33	3590250	36868888
encode	34	3532958	36868888
encode	35	3468958	36868888
encode	36	3604541	36868888
encode	37	3522542	36868888
encode	38	3843625	36868888
encode	39	3617542	36868888
encode	40	3764917	36868888
