kind	round	position	cell	marker
prove	1	1	control	OVERHEAD_PROVE_EARLY anchors=0 ns=2958
prove	1	1	control	OVERHEAD_PROVE_DEEP q=219 anchors=0 ns=75038833
prove	1	1	control	OVERHEAD_PROVE_CPU q=219 anchors=0 grind_ns=40101084 fri_query_ns=187458 openings_ns=522208
prove	1	2	anchor_only	OVERHEAD_PROVE_EARLY anchors=2 ns=4640542
prove	1	2	anchor_only	OVERHEAD_PROVE_DEEP q=219 anchors=2 ns=10211625
prove	1	2	anchor_only	OVERHEAD_PROVE_CPU q=219 anchors=2 grind_ns=31169375 fri_query_ns=346375 openings_ns=912250
prove	1	3	query_only	OVERHEAD_PROVE_EARLY anchors=0 ns=2292
prove	1	3	query_only	OVERHEAD_PROVE_DEEP q=208 anchors=0 ns=13346333
prove	1	3	query_only	OVERHEAD_PROVE_CPU q=208 anchors=0 grind_ns=39289458 fri_query_ns=196042 openings_ns=563000
prove	1	4	actual	OVERHEAD_PROVE_EARLY anchors=2 ns=6226709
prove	1	4	actual	OVERHEAD_PROVE_DEEP q=208 anchors=2 ns=67354209
prove	1	4	actual	OVERHEAD_PROVE_CPU q=208 anchors=2 grind_ns=7345167 fri_query_ns=222375 openings_ns=300416
prove	2	1	actual	OVERHEAD_PROVE_EARLY anchors=2 ns=5050042
prove	2	1	actual	OVERHEAD_PROVE_DEEP q=208 anchors=2 ns=8928667
prove	2	1	actual	OVERHEAD_PROVE_CPU q=208 anchors=2 grind_ns=6357625 fri_query_ns=168000 openings_ns=436208
prove	2	2	query_only	OVERHEAD_PROVE_EARLY anchors=0 ns=2583
prove	2	2	query_only	OVERHEAD_PROVE_DEEP q=208 anchors=0 ns=34277708
prove	2	2	query_only	OVERHEAD_PROVE_CPU q=208 anchors=0 grind_ns=41155792 fri_query_ns=196500 openings_ns=523916
prove	2	3	anchor_only	OVERHEAD_PROVE_EARLY anchors=2 ns=5370208
prove	2	3	anchor_only	OVERHEAD_PROVE_DEEP q=219 anchors=2 ns=9532458
prove	2	3	anchor_only	OVERHEAD_PROVE_CPU q=219 anchors=2 grind_ns=45578208 fri_query_ns=173833 openings_ns=318042
prove	2	4	control	OVERHEAD_PROVE_EARLY anchors=0 ns=2541
prove	2	4	control	OVERHEAD_PROVE_DEEP q=219 anchors=0 ns=17782750
prove	2	4	control	OVERHEAD_PROVE_CPU q=219 anchors=0 grind_ns=50866500 fri_query_ns=193292 openings_ns=582000
prove	3	1	query_only	OVERHEAD_PROVE_EARLY anchors=0 ns=3250
prove	3	1	query_only	OVERHEAD_PROVE_DEEP q=208 anchors=0 ns=10449083
prove	3	1	query_only	OVERHEAD_PROVE_CPU q=208 anchors=0 grind_ns=29836333 fri_query_ns=166792 openings_ns=665000
prove	3	2	control	OVERHEAD_PROVE_EARLY anchors=0 ns=3583
prove	3	2	control	OVERHEAD_PROVE_DEEP q=219 anchors=0 ns=7515208
prove	3	2	control	OVERHEAD_PROVE_CPU q=219 anchors=0 grind_ns=51318209 fri_query_ns=191958 openings_ns=969625
prove	3	3	actual	OVERHEAD_PROVE_EARLY anchors=2 ns=5393209
prove	3	3	actual	OVERHEAD_PROVE_DEEP q=208 anchors=2 ns=38628541
prove	3	3	actual	OVERHEAD_PROVE_CPU q=208 anchors=2 grind_ns=72566625 fri_query_ns=170333 openings_ns=548042
prove	3	4	anchor_only	OVERHEAD_PROVE_EARLY anchors=2 ns=4757833
prove	3	4	anchor_only	OVERHEAD_PROVE_DEEP q=219 anchors=2 ns=18580292
prove	3	4	anchor_only	OVERHEAD_PROVE_CPU q=219 anchors=2 grind_ns=23996417 fri_query_ns=205042 openings_ns=682625
prove	4	1	anchor_only	OVERHEAD_PROVE_EARLY anchors=2 ns=4322292
prove	4	1	anchor_only	OVERHEAD_PROVE_DEEP q=219 anchors=2 ns=33343958
prove	4	1	anchor_only	OVERHEAD_PROVE_CPU q=219 anchors=2 grind_ns=5547667 fri_query_ns=204500 openings_ns=426334
prove	4	2	actual	OVERHEAD_PROVE_EARLY anchors=2 ns=5415667
prove	4	2	actual	OVERHEAD_PROVE_DEEP q=208 anchors=2 ns=15027667
prove	4	2	actual	OVERHEAD_PROVE_CPU q=208 anchors=2 grind_ns=5820916 fri_query_ns=226333 openings_ns=574792
prove	4	3	control	OVERHEAD_PROVE_EARLY anchors=0 ns=2792
prove	4	3	control	OVERHEAD_PROVE_DEEP q=219 anchors=0 ns=74420833
prove	4	3	control	OVERHEAD_PROVE_CPU q=219 anchors=0 grind_ns=4428500 fri_query_ns=197709 openings_ns=519083
prove	4	4	query_only	OVERHEAD_PROVE_EARLY anchors=0 ns=3166
prove	4	4	query_only	OVERHEAD_PROVE_DEEP q=208 anchors=0 ns=29277333
