round	position	cell	internal_seconds	process_seconds	max_rss_bytes
1	1	control	1.387	1.66	2021507072
1	2	anchor_only	1.455	1.75	1994276864
1	3	query_only	1.403	1.70	2003845120
1	4	actual	1.389	1.40	1992261632
2	1	actual	1.525	1.54	1974272000
2	2	query_only	1.723	1.74	1983954944
2	3	anchor_only	1.611	1.62	1987100672
2	4	control	1.471	1.49	1997144064
3	1	query_only	1.510	1.52	2001174528
3	2	control	1.470	1.48	2001256448
3	3	actual	1.483	1.50	2001944576
3	4	anchor_only	1.436	1.45	2004484096
4	1	anchor_only	1.442	1.46	2011906048
4	2	actual	1.482	1.50	2002796544
4	3	control	1.469	1.48	1997537280
4	4	query_only	1.434	1.45	2002386944
5	1	control	1.434	1.45	2008907776
5	2	anchor_only	1.421	1.43	2015199232
5	3	query_only	1.440	1.45	2011758592
5	4	actual	1.465	1.48	2009006080
6	1	actual	1.441	1.45	1989967872
6	2	query_only	1.454	1.47	2008596480
6	3	anchor_only	1.444	1.46	2004582400
6	4	control	1.435	1.45	2005581824
7	1	query_only	1.457	1.47	2010120192
7	2	control	1.476	1.49	2010546176
7	3	actual	1.463	1.48	2003124224
7	4	anchor_only	1.636	1.65	2002599936
8	1	anchor_only	1.427	1.44	1994604544
8	2	actual	1.483	1.50	1996636160
8	3	control	1.436	1.45	2013822976
8	4	query_only	1.431	1.44	2016575488
9	1	control	1.511	1.52	1988198400
9	2	anchor_only	1.554	1.57	2050244608
9	3	query_only	1.568	1.58	2011463680
9	4	actual	1.457	1.47	1999847424
10	1	actual	1.490	1.50	2018344960
10	2	query_only	1.450	1.46	2003845120
10	3	anchor_only	1.521	1.53	2008399872
10	4	control	1.542	1.55	1991163904
11	1	query_only	1.573	1.59	2005254144
11	2	control	1.545	1.56	1998258176
11	3	actual	1.529	1.54	2007416832
11	4	anchor_only	1.482	1.49	2011463680
12	1	anchor_only	1.507	1.52	2003419136
12	2	actual	1.515	1.53	2011660288
12	3	control	1.535	1.55	2005467136
12	4	query_only	1.519	1.53	1972043776
13	1	control	1.725	1.74	2000814080
13	2	anchor_only	1.624	1.64	2007007232
13	3	query_only	1.640	1.65	2006827008
13	4	actual	1.578	1.59	2014281728
14	1	actual	1.582	1.60	1981595648
14	2	query_only	1.611	1.63	1989214208
14	3	anchor_only	1.568	1.58	2004729856
14	4	control	1.561	1.57	2010546176
15	1	query_only	1.550	1.56	1989001216
15	2	control	1.586	1.60	1995407360
15	3	actual	1.580	1.59	2006482944
15	4	anchor_only	1.665	1.68	2010087424
16	1	anchor_only	1.662	1.67	2002272256
16	2	actual	1.645	1.66	2015936512
16	3	control	1.896	1.91	2009808896
16	4	query_only	1.743	1.76	2008940544
