round	position	cell	internal_seconds	process_seconds	user_seconds	sys_seconds	max_rss_bytes	proof_bytes
1	1	control	1.467	1.48			1972027392	36868888
1	2	anchor_only	1.620	1.63			1989115904	36870744
1	3	query_only	1.577	1.59			2009972736	36807200
1	4	actual	1.499	1.51			1993916416	36809056
2	1	actual	1.518	1.53			2009317376	36809056
2	2	query_only	1.523	1.53			1990934528	36807200
2	3	anchor_only	1.555	1.57			1993015296	36870744
2	4	control	1.560	1.57			1989885952	36868888
3	1	query_only	1.556	1.57			2000797696	36807200
3	2	control	1.533	1.54			2031566848	36868888
3	3	actual	1.547	1.56			1998241792	36809056
3	4	anchor_only	1.534	1.54			1981693952	36870744
4	1	anchor_only	1.563	1.57			2030895104	36870744
4	2	actual	1.624	1.63			1987297280	36809056
4	3	control	1.576	1.59			2069626880	36868888
4	4	query_only	1.462	1.47			2013626368	36807200
5	1	control	1.548	1.56			2006007808	36868888
5	2	anchor_only	1.564	1.57			1985216512	36870744
5	3	query_only	1.458	1.47			2031435776	36807200
5	4	actual	1.632	1.64			2007367680	36809056
6	1	actual	1.559	1.57			2007023616	36809056
6	2	query_only	1.695	1.71			1997946880	36807200
6	3	anchor_only	1.547	1.56			2000863232	36870744
6	4	control	1.553	1.56			2056175616	36868888
7	1	query_only	1.602	1.61			1993408512	36807200
7	2	control	1.518	1.53			1985773568	36868888
7	3	actual	1.633	1.64			1988280320	36809056
7	4	anchor_only	1.554	1.57			2021654528	36870744
8	1	anchor_only	1.650	1.66			2001240064	36870744
8	2	actual	1.576	1.59			2023047168	36809056
8	3	control	1.646	1.66			1989967872	36868888
8	4	query_only	1.610	1.62			2001321984	36807200
9	1	control	1.728	1.74			1998274560	36868888
9	2	anchor_only	1.652	1.67			2011611136	36870744
9	3	query_only	1.638	1.65			2006122496	36807200
9	4	actual	1.575	1.59			1994342400	36809056
10	1	actual	1.582	1.59			1993441280	36809056
10	2	query_only	1.452	1.46			1989836800	36807200
10	3	anchor_only	1.711	1.72			2049015808	36870744
10	4	control	1.665	1.68			2045837312	36868888
11	1	query_only	1.573	1.58			1988247552	36807200
11	2	control	1.613	1.62			1994342400	36868888
11	3	actual	1.468	1.48			1997570048	36809056
11	4	anchor_only	1.605	1.62			2002796544	36870744
12	1	anchor_only	1.493	1.50			1991884800	36870744
12	2	actual	1.599	1.61			2002305024	36809056
12	3	control	1.569	1.58			2007728128	36868888
12	4	query_only	1.556	1.57			2036973568	36807200
13	1	control	1.550	1.56			2005712896	36868888
13	2	anchor_only	1.501	1.51			2005352448	36870744
13	3	query_only	1.747	1.76			1988591616	36807200
13	4	actual	1.564	1.57			2000060416	36809056
14	1	actual	1.475	1.49			2004123648	36809056
14	2	query_only	1.540	1.55			2012069888	36807200
14	3	anchor_only	1.600	1.61			2008514560	36870744
14	4	control	1.538	1.55			1997750272	36868888
15	1	query_only	1.527	1.54			2003910656	36807200
15	2	control	1.478	1.49			1997307904	36868888
15	3	actual	1.560	1.57			2018361344	36809056
15	4	anchor_only	1.500	1.51			2018738176	36870744
16	1	anchor_only	1.449	1.46			2002403328	36870744
16	2	actual	1.563	1.57			1999372288	36809056
16	3	control	1.548	1.56			2060189696	36868888
16	4	query_only	1.509	1.52			2004271104	36807200
17	1	control	1.530	1.54			1999683584	36868888
17	2	anchor_only	1.498	1.51			1993752576	36870744
17	3	query_only	1.570	1.58			2004402176	36807200
17	4	actual	1.606	1.62			2006171648	36809056
18	1	actual	1.490	1.50			2003451904	36809056
18	2	query_only	1.594	1.60			1983561728	36807200
18	3	anchor_only	1.532	1.54			2009595904	36870744
18	4	control	1.558	1.57			2010382336	36868888
19	1	query_only	1.743	1.75			1999568896	36807200
19	2	control	1.577	1.59			1995833344	36868888
19	3	actual	1.502	1.51			2017017856	36809056
19	4	anchor_only	1.575	1.59			2010644480	36870744
20	1	anchor_only	1.516	1.53			1993555968	36870744
20	2	actual	1.515	1.53			1985773568	36809056
20	3	control	1.636	1.65			1992736768	36868888
20	4	query_only	1.515	1.53			2004500480	36807200
