round	position	cell	internal_seconds	process_seconds	user_seconds	sys_seconds	max_rss_bytes
1	1	control	0.130	0.14			145506304
1	2	anchor_only	0.131	0.14			145604608
1	3	query_only	0.130	0.14			145571840
1	4	actual	0.130	0.14			145457152
2	1	actual	0.130	0.14			145506304
2	2	query_only	0.132	0.14			145571840
2	3	anchor_only	0.131	0.14			145408000
2	4	control	0.130	0.14			145670144
3	1	query_only	0.130	0.14			145440768
3	2	control	0.130	0.14			145506304
3	3	actual	0.131	0.14			145620992
3	4	anchor_only	0.130	0.14			145588224
4	1	anchor_only	0.131	0.14			145424384
4	2	actual	0.130	0.14			145489920
4	3	control	0.129	0.14			145555456
4	4	query_only	0.131	0.14			145522688
5	1	control	0.129	0.14			145506304
5	2	anchor_only	0.129	0.14			145408000
5	3	query_only	0.131	0.14			145358848
5	4	actual	0.131	0.14			145604608
6	1	actual	0.131	0.14			145571840
6	2	query_only	0.129	0.14			145522688
6	3	anchor_only	0.130	0.14			145506304
6	4	control	0.130	0.14			145424384
7	1	query_only	0.130	0.14			145506304
7	2	control	0.143	0.15			145457152
7	3	actual	0.131	0.14			145440768
7	4	anchor_only	0.130	0.14			145489920
8	1	anchor_only	0.130	0.14			145440768
8	2	actual	0.130	0.14			145539072
8	3	control	0.131	0.14			145457152
8	4	query_only	0.130	0.14			145555456
9	1	control	0.130	0.14			145522688
9	2	anchor_only	0.130	0.14			145473536
9	3	query_only	0.131	0.14			145440768
9	4	actual	0.131	0.14			145326080
10	1	actual	0.129	0.14			145424384
10	2	query_only	0.130	0.14			145522688
10	3	anchor_only	0.131	0.14			145375232
10	4	control	0.129	0.14			145473536
11	1	query_only	0.130	0.14			145440768
11	2	control	0.131	0.14			145489920
11	3	actual	0.130	0.14			147881984
11	4	anchor_only	0.131	0.14			145391616
12	1	anchor_only	0.131	0.14			145604608
12	2	actual	0.131	0.14			145571840
12	3	control	0.129	0.14			145489920
12	4	query_only	0.130	0.14			145440768
13	1	control	0.129	0.14			145391616
13	2	anchor_only	0.131	0.14			145276928
13	3	query_only	0.131	0.14			145506304
13	4	actual	0.130	0.14			145473536
14	1	actual	0.131	0.14			145440768
14	2	query_only	0.130	0.14			145604608
14	3	anchor_only	0.129	0.14			145440768
